id,Concentration,std_replicate,Group,NF,Dilution,MGDG_32-2,MGDG_36-5,MGDG_36-4,MGDG_34-3,MGDG_34-1,MGDG_34-4,SQDG_34-2,DGDG_34-4,SQDG_32-0,SQDG_34-1,DGDG_44-4,DGDG_40-3 va,MGDG_44-4,DGDG_34-3 va,DGDG_36-3,MGDG_44-3,DGDG_38-3,DGDG_32-0,MGDG_44-2,DGDG_34-2,IS
std_0.25,2500.00,0.00,S,1.00,1.00,0,325.0689923,158.7919801,13.73527438,4886.454002,0,1525.256421,78.80268257,7234.901301,1211.287274,36.7194426,106.1847371,1263.934023,13567.08864,50.03316646,5592.742272,163.0209116,3722.021064,2417.593717,5920.928288,1
std_0.1,1000.00,0.00,S,1.00,1.00,7.182907285,957.1666654,2935.638434,0,16688.99993,0,3011.239413,42.16200678,11073.01409,2582.387266,0,146.172119,1633.049285,33237.72781,14.02733494,6660.403608,222.0599763,1641.453651,1872.983353,7451.109747,1
std_0.05,500.00,0.00,S,1.00,1.00,9.51704165,714.4547827,1917.829253,0,14892.76815,0,2653.047171,43.44414621,12948.74021,2072.940481,42.2964777,93.50812445,4105.153593,18158.39373,44.45731195,6625.800694,614.4371328,4992.241037,2729.285081,4996.574841,1
std_0.025,250.00,0.00,S,1.00,1.00,3.066302067,529.179764,1621.188706,0,12668.40634,0,2406.557092,285.2694359,8477.517929,1633.356885,15.30834257,154.2205538,4768.837157,11287.31667,41.26679511,6121.685285,648.6256573,4144.430496,2444.159696,2090.127244,1
std_0.01,100.00,0.00,S,1.00,1.00,0.582886516,367.9429639,817.3383475,12.59967993,9576.589683,0,1081.482596,467.7536727,7402.286074,813.6062655,0,139.0849396,4983.052653,4207.551732,32.08544034,4312.672607,423.7622469,2672.701284,1452.886736,989.983682,1
std_0.005,50.00,0.00,S,1.00,1.00,0.558009247,661.1328113,1824.70505,0,10424.78578,0,1727.041161,290.1191153,9077.692322,1283.839117,20.68460923,208.7369902,4498.391988,9812.879531,26.1493814,6613.633274,441.6545686,5273.415823,2901.90777,2385.705481,1
std_0.002,20.00,0.00,S,1.00,1.00,0,244.6258497,318.2003871,,8155.823832,0,925.0025463,740.7641679,3288.130256,263.6599871,23.75320203,44.39349288,3681.705279,1647.109919,22.353971,2111.820288,313.1377902,1851.666755,776.5483739,355.873859,1
std_0.001,10.00,0.00,S,1.00,1.00,0,142.5644742,246.6382199,0,6722.741449,23.02484476,648.9563466,709.0063755,2265.434271,333.9495398,0,99.75473909,3196.844556,1763.041765,15.39923789,1897.269807,298.1487296,1730.590253,1046.303239,437.3112078,1
std_0.0005,5.00,0.00,S,1.00,1.00,0,159.8781956,108.7527819,3.981738346,7105.594916,13.09386834,643.0559393,510.8380139,2316.923614,87.72461863,0,44.29378731,2734.626935,824.6609784,,1311.513776,149.865732,1217.858426,334.0991419,139.5208222,1
std_0.0002,2.00,0.00,S,1.00,1.00,0,5.034614199,0,26.57578775,500.1156085,0,64.65762427,168.4031339,245.7124509,11.19591093,0,21.41531985,186.5531253,136.8271621,,118.0186579,0,97.55731888,117.0002518,24.07992687,1
S1R1,0.00,0.00,Salt,1.00,1.00,331.8311136,7146.064784,1218.319792,519.0277784,2239.36204,1519.450043,243.6153942,1956.618145,1331.801672,152.5536459,116.8150141,162.0242159,1681.891673,320.1865342,57.38321178,2184.885016,300.4732654,1652.470115,883.9206894,376.927381,1
S1R2,0.00,0.00,Salt,1.00,1.00,155.4953186,4775.995765,883.5734981,395.3297293,616.3929629,2271.940213,277.1067736,883.6961855,936.9801062,62.725026,87.21025591,225.2333636,468.94921,213.9557917,0,1044.403367,99.6414731,555.5579323,539.7639543,0,1
S1R3,0.00,0.00,Salt,1.00,1.00,36.61435698,4430.775918,742.5998183,659.2716961,1121.254682,2501.791551,200.7852016,1069.366415,908.3073006,111.2535042,0,157.8108752,1184.746808,382.3020811,32.2481815,1001.784349,75.46939319,631.7320274,457.7234321,160.5704414,1
S3R1,0.00,0.00,Salt,1.00,1.00,384.1822835,13533.48708,2338.966319,187.3819956,3081.657705,1904.654492,481.04697,1147.437392,2066.409091,254.7708023,0,136.1294604,804.4152742,481.4576805,118.1457702,1447.93905,240.275386,1278.086885,752.4568879,175.5318449,1
S3R2,0.00,0.00,Salt,1.00,1.00,463.8064252,12894.84573,1944.531983,551.5904952,2174.752057,4856.358718,635.1171217,2027.840336,2090.1946,179.5120355,39.47668512,242.5910518,952.361737,489.4678163,93.45433269,2096.804827,141.3219172,1741.164382,717.3993234,150.8600193,1
S3R3,0.00,0.00,Salt,1.00,1.00,327.1558747,20178.7896,2540.046957,364.822678,2577.704963,3520.180507,548.6742506,2348.052089,2289.533939,104.1495751,0,311.2442742,1309.599905,679.8026041,54.41139902,2257.947163,385.6930227,1773.942099,1348.763325,509.4717418,1
S5R1,0.00,0.00,Salt,1.00,1.00,3033.842955,18227.24959,6520.653464,370.6504031,6083.027548,3571.303451,1781.898614,1855.404537,5066.862192,480.8478162,0,159.4160078,1142.788327,449.841076,165.2201605,906.6468353,90.31885848,599.1268636,329.2019073,112.8600859,1
S5R2,0.00,0.00,Salt,1.00,1.00,6735.354855,19404.74654,6076.122766,277.4480525,5534.359744,3716.847083,863.5290168,2223.224186,4525.665323,437.2281723,54.17204897,185.1340002,868.5371564,471.502406,56.87012998,1180.487541,178.9825323,745.0920658,476.5796851,213.6084457,1
S5R3,0.00,0.00,Salt,1.00,1.00,7524.10022,22754.4376,11004.72409,280.8060076,6645.669206,3875.895789,2081.725022,1555.961965,6905.155017,649.7104759,71.73172111,272.2256284,1403.876969,741.0353242,117.7063869,1431.925856,104.4212294,991.2454287,756.6751271,214.4466751,1
S7R1,0.00,0.00,Salt,1.00,1.00,61.43807071,1096.77774,247.63428,747.6413858,423.205983,703.1377315,50.57950219,620.044074,134.6488929,5.265809789,21.11200967,25.20041371,107.0156616,58.06752363,0,56.60516807,7.748142375,13.0104891,0,38.40399842,1
S7R2,0.00,0.00,Salt,1.00,1.00,135.5829183,645.7675327,67.07090468,634.7340467,238.1912589,642.4673481,99.09665978,317.4839631,77.57128631,16.34522779,24.4327338,67.45055818,107.5788527,20.48726968,8.76254839,49.50063068,15.45751173,0,0,18.57204888,1
S7R3,0.00,0.00,Salt,1.00,1.00,116.9195204,473.1419407,90.07822087,579.7283548,140.2564335,873.8722999,166.1360723,194.7864797,167.5570503,47.1226677,0,75.89266804,218.8712499,44.67501441,0,36.15030786,7.88976517,21.28121066,31.88208539,0,1
S2R1,0.00,0.00,Control,1.00,1.00,436.9597679,5178.306479,897.8668129,432.1673774,1656.435646,1625.093034,243.0987224,1306.167857,1032.916216,135.111708,51.21092579,247.988842,1013.715701,430.2956566,0,1513.6399,254.1648189,824.5566121,478.1841211,296.427597,1
S2R2,0.00,0.00,Control,1.00,1.00,280.0687289,5861.347528,909.8367173,665.6763405,1371.168982,1912.407607,386.0966839,1690.186579,1760.28652,111.5295394,8.63554092,240.8063172,1487.623746,243.3007587,50.94372033,2228.866592,170.5217632,1316.826019,673.8026048,85.78338737,1
S2R3,0.00,0.00,Control,1.00,1.00,154.7533632,3593.911035,628.0296888,209.5788291,850.165187,1307.977682,187.2690456,794.9024619,724.5996499,28.04177299,13.23468513,106.7502675,870.1624264,87.53840161,34.22783046,759.5018317,74.50716848,508.496838,396.2405687,77.92833724,1
S4R1,0.00,0.00,Control,1.00,1.00,567.3546588,24234.98342,3153.399139,351.265818,2787.309163,3313.447328,676.2005961,2509.785644,2455.155279,97.35200524,0,281.3448335,1678.554264,549.4466765,91.95476782,1604.101908,226.1166207,968.8597366,746.0701187,225.5559434,1
S4R2,0.00,0.00,Control,1.00,1.00,509.1191329,24285.88265,2952.188283,297.3755493,3591.711775,3468.562693,741.5099585,2457.663676,2933.258906,390.3479113,53.34996819,349.3996544,1427.938001,513.4213642,22.75453983,3174.307359,352.143742,1978.978925,1067.826828,299.3483739,1
S4R3,0.00,0.00,Control,1.00,1.00,390.574717,18125.33074,2824.215194,488.7041323,3026.320932,3401.715401,686.8783638,2003.661054,2918.452938,269.446821,22.50413604,413.2320902,1563.595761,747.5678583,73.42782979,2793.854303,206.7094767,2041.355851,976.7116743,498.2679782,1
S6R1,0.00,0.00,Control,1.00,1.00,1926.154474,9228.144066,3701.748028,276.4745591,3941.343908,3861.798175,926.1177421,1902.939989,2636.782697,193.4611991,0,145.350636,772.7105731,393.3780306,177.5732287,447.8622999,115.3326426,465.878777,183.7863736,16.76360632,1
S6R2,0.00,0.00,Control,1.00,1.00,6743.486711,17198.1501,5059.354315,456.3116762,4898.326829,3461.967115,1396.080218,2680.529338,3986.242704,426.4265671,17.64067665,138.6908008,903.4858118,251.295181,206.6037896,1184.226684,120.6495211,703.0583483,417.8738031,77.37020036,1
S6R3,0.00,0.00,Control,1.00,1.00,6862.985975,13224.84018,5127.813235,392.4678474,5295.669375,3372.819413,1049.697566,2014.80527,3742.276479,377.9013326,0,122.1523038,966.4689889,218.875662,35.37191779,921.817763,178.0650703,505.6541422,397.4091855,0,1
S8R1,0.00,0.00,Control,1.00,1.00,36.28603973,429.665856,164.7809637,733.5021606,184.7673187,220.6261375,10.40964139,207.0674464,127.4531585,10.06486476,0,99.52511799,124.6854639,31.11854942,8.103432832,37.43455849,0.551285496,45.63698317,41.90661029,0,1
S8R2,0.00,0.00,Control,1.00,1.00,152.4502942,365.5179339,59.98497714,602.4726183,256.8388116,485.2287376,13.89540926,285.3428802,81.05950596,21.79392081,0,95.92616077,72.1741844,16.08230452,26.09335571,41.6805341,12.49908608,17.21780959,0,21.98211025,1
S8R3,0.00,0.00,Control,1.00,1.00,81.45125566,258.589323,54.762392,517.6151861,172.049571,490.8317714,11.39077962,140.891111,80.27950937,0,0,73.34867134,43.48158899,62.79160052,21.30007326,46.62474633,19.90778535,42.10936791,21.9725296,17.44308941,1
PBQC 1_neg,0.00,0.00,PBQC,1.00,1.00,987.4780418,8817.622697,1768.635364,351.8516139,2785.974208,4074.656833,934.5725275,1485.70274,2129.824621,218.4839564,47.05727785,148.856233,1128.535376,324.0356021,116.4522316,780.1994654,202.3821909,737.9198145,442.0532262,181.9144834,1
PBQC 2_neg,0.00,0.00,PBQC,1.00,1.00,1736.120721,13498.70753,2806.698263,632.1479316,3082.080658,3957.514773,847.8429473,2408.03065,2893.113123,258.9739907,41.86697946,266.8673397,1573.307404,574.5516003,176.5097521,1159.023369,127.8021857,870.7592087,587.9262086,290.3532803,1
PBQC 3_neg,0.00,0.00,PBQC,1.00,1.00,1402.57158,14286.02282,2769.756137,405.5713973,3668.478434,5124.285634,939.8800726,2058.406749,2494.102557,333.6928695,38.56601202,239.5767678,1220.231779,499.3672554,175.4340778,1346.366782,125.8530239,1178.457513,485.6563822,310.6965046,1
PBQC 4_neg,0.00,0.00,PBQC,1.00,1.00,1266.027593,13537.08456,2647.036004,363.2936755,3397.028331,5076.909274,863.4633544,2476.758828,3086.890549,202.340018,58.94954613,377.8819544,1412.985688,264.5612294,121.0680737,1336.224943,199.5775251,1232.687822,476.8484246,187.9821597,1
PBQC 5_neg,0.00,0.00,PBQC,1.00,1.00,1383.914188,12228.73872,2784.26721,367.9975481,3453.355365,4717.638217,648.6793779,2046.338366,2793.540297,243.6796908,31.92341562,240.418602,878.1024723,283.6358691,84.71609093,1518.34358,218.0402239,964.8186107,434.4780136,185.9241945,1
